site_no,site_name,date,parameter,statistic,value
11152500,Salinas River near Spreckels,2023-03-14,discharge_cfs,mean,15600.0
11152500,Salinas River near Spreckels,2023-03-15,discharge_cfs,mean,13500.0
11152500,Salinas River near Spreckels,2023-03-16,discharge_cfs,mean,12500.0
11152500,Salinas River near Spreckels,2023-03-17,discharge_cfs,mean,18000.0
11152500,Salinas River near Spreckels,2023-03-18,discharge_cfs,mean,12600.0
11152500,Salinas River near Spreckels,2023-03-19,discharge_cfs,mean,9110.0
11152500,Salinas River near Spreckels,2023-03-20,discharge_cfs,mean,8060.0
11152500,Salinas River near Spreckels,2023-03-21,discharge_cfs,mean,7220.0
11152500,Salinas River near Spreckels,2023-03-22,discharge_cfs,mean,6320.0
11152500,Salinas River near Spreckels,2023-03-23,discharge_cfs,mean,6450.0
11152500,Salinas River near Spreckels,2023-03-24,discharge_cfs,mean,8100.0
11152500,Salinas River near Spreckels,2023-03-25,discharge_cfs,mean,7530.0
11152500,Salinas River near Spreckels,2023-03-26,discharge_cfs,mean,5400.0
11152500,Salinas River near Spreckels,2023-03-27,discharge_cfs,mean,4790.0
11152500,Salinas River near Spreckels,2023-03-28,discharge_cfs,mean,4200.0
11152500,Salinas River near Spreckels,2023-03-29,discharge_cfs,mean,3740.0
11152500,Salinas River near Spreckels,2023-03-30,discharge_cfs,mean,3870.0
11152500,Salinas River near Spreckels,2023-03-31,discharge_cfs,mean,4060.0
11159000,Pajaro River at Chittenden,2023-01-01,discharge_cfs,mean,5140.0
11159000,Pajaro River at Chittenden,2023-01-02,discharge_cfs,mean,3220.0
11159000,Pajaro River at Chittenden,2023-01-03,discharge_cfs,mean,1620.0
11159000,Pajaro River at Chittenden,2023-01-04,discharge_cfs,mean,1100.0
11159000,Pajaro River at Chittenden,2023-01-05,discharge_cfs,mean,1630.0
11159000,Pajaro River at Chittenden,2023-01-06,discharge_cfs,mean,2720.0
11159000,Pajaro River at Chittenden,2023-01-07,discharge_cfs,mean,1770.0
11159000,Pajaro River at Chittenden,2023-01-08,discharge_cfs,mean,1920.0
11159000,Pajaro River at Chittenden,2023-01-09,discharge_cfs,mean,5170.0
11159000,Pajaro River at Chittenden,2023-01-10,discharge_cfs,mean,10100.0
11159000,Pajaro River at Chittenden,2023-01-11,discharge_cfs,mean,8270.0
11159000,Pajaro River at Chittenden,2023-01-12,discharge_cfs,mean,5110.0
11159000,Pajaro River at Chittenden,2023-01-13,discharge_cfs,mean,3080.0
