,scenes,touching_units,max_pct_units,max_pct_unit_area,best_scene_clear_pct,median_scene_cloud_pct
2023-03-10,9,8,42.95454545454545,54.5743080342317,22.0,46.0
2023-03-11,7,7,70.60606060606061,55.0367022670257,26.0,88.0
2023-03-12,8,8,56.439393939393945,57.55237674375321,38.0,58.5
2023-03-13,8,7,76.43939393939394,64.02641506704013,71.0,41.0
2023-03-14,0,0,0.0,0.0,0.0,0.0
2023-03-15,10,8,55.00000000000001,56.89497825078021,87.0,47.5
2023-03-16,4,4,43.40909090909091,61.38984822611139,97.0,2.5
2023-03-17,10,9,41.060606060606055,53.268940355311045,98.0,39.5
2023-03-18,18,13,67.34848484848484,58.961023144388946,60.0,0.0
2023-03-19,17,12,34.54545454545455,23.05057868139452,34.0,87.0
2023-03-20,3,2,49.31818181818181,29.22116902582671,40.0,81.0
