unit_id,is_unit,sequence,COUNTY,ACRES,geom_acres,MULTIUSE,MAIN_CROP,crop_sequence,t20_slot,t20_peak_date,crop_before,crop_after,crop_after_peak_date,touches_perm_water,lon,lat,x_3310,y_3310
2715637,False,B,Monterey,14.640584136105167,14.640642699792943,T,T4,T20 > T30 > T4,1,2022-10-03,,T30,2023-05-22,False,-121.736224,36.691902,-154917.6,-145808.6
2715622,False,B,Monterey,1.3748116362162817,1.3748171355368262,D,G6,T20 > G6,1,2022-11-04,,G6,2023-03-20,False,-121.69593,36.814235,-151079.4,-132279.1
2715590,False,B,Monterey,5.69202004525746,5.692042810702901,S,T20,T20 > X,2,2023-01-06,,X,,False,-121.716305,36.775307,-152972.6,-136572.4
2715585,True,A,Monterey,2.3576024521557595,2.357611886308803,S,T20,T20,2,,,,,False,-121.719068,36.879706,-153008.5,-124966.1
2723986,True,A,Monterey,26.30782314415272,26.307928414491172,S,T20,T20,2,,,,,False,-121.793434,36.876083,-159634.4,-125246.2
2715571,True,A,Monterey,13.406345324770161,13.406398964814287,S,T20,T20,2,,,,,False,-121.692499,36.77066,-150860.3,-137127.0
2715566,False,B,Monterey,1.930916490515955,1.9309242133837532,S,T20,T20 > X,2,2023-02-23,,X,,False,-121.667983,36.767573,-148681.3,-137508.8
2715564,True,A,Monterey,10.161838365094669,10.161879076201272,S,T20,T20,2,,,,,False,-121.797098,36.838915,-160038.8,-129370.4
2717261,True,A,Monterey,7.983079725251736,7.983111653029094,S,T20,T20,2,,,,,False,-121.672905,36.887746,-148884.3,-124146.2
2725578,True,A,Monterey,40.28834669989179,40.28850785451541,S,T20,T20,2,,,,,False,-121.685596,36.671992,-150440.0,-148102.7
2715507,True,A,Monterey,1.9706154427810334,1.970623322353666,S,T20,T20,2,,,,,False,-121.679947,36.853771,-149577.9,-127910.7
2723988,True,A,Monterey,31.200516748411093,31.200641607192104,S,T20,T20,2,,,,,False,-121.653353,36.88909,-147141.9,-124027.2
2715469,True,A,Monterey,9.419266993760493,9.419304666826362,S,T20,T20,2,,,,,False,-121.667778,36.88796,-148427.7,-124130.4
2715458,True,A,Monterey,2.3509006187874313,2.350910020070538,S,T20,T20,2,,,,,False,-121.673968,36.867565,-149018.5,-126387.2
2715441,True,A,Monterey,35.453249801418956,35.45339155697403,S,T20,T20,2,,,,,False,-121.786625,36.825298,-159134.8,-130901.3
2715440,True,A,Monterey,1.1963909816014635,1.196395766866421,S,T20,T20,2,,,,,False,-121.71006,36.877985,-152210.2,-125171.9
2723989,True,A,Monterey,1.336719921635225,1.336725266901586,S,T20,T20,2,,,,,False,-121.692508,36.857765,-150688.2,-127447.0
2715431,True,A,Monterey,2.028853915622384,2.028862031440219,S,T20,T20,2,,,,,False,-121.717478,36.875594,-152875.3,-125425.7
2715422,True,A,Monterey,16.311144256134334,16.311209639324854,S,T20,T20,2,,,,,False,-121.713503,36.773511,-152726.5,-136776.6
2715419,True,A,Monterey,14.600570541420463,14.600628960037302,S,T20,T20,2,,,,,False,-121.671231,36.750603,-149004.1,-139389.6
2715395,True,A,Monterey,16.66986797554874,16.669934628626265,S,T20,T20,2,,,,,False,-121.69789,36.687231,-151506.8,-146389.6
2715390,False,B,Monterey,11.684866798305194,11.68491356992967,T,T30,T20 > T30 > T30,1,2022-10-18,,T30,2023-05-15,False,-121.729192,36.680075,-154314.1,-147134.3
2723990,True,A,Monterey,20.504966017043127,20.505048042633398,S,T20,T20,2,,,,,False,-121.671523,36.764922,-149002.1,-137797.8
2715367,False,B,Monterey,3.672412332994518,3.672427022280082,S,T20,T20 > X,2,2022-10-27,,X,,False,-121.664391,36.911991,-148079.4,-121465.0
2722287,True,A,Monterey,17.405579967794196,17.405649593190784,S,T20,T20,2,,,,,False,-121.69505,36.768337,-151092.3,-137381.1
2715341,True,A,Monterey,1.6703979691727997,1.6704046071284018,S,T20,T20,2,,,,,False,-121.720257,36.815831,-153243.2,-132062.7
2715333,True,A,Monterey,3.6949687961301962,3.694983557245204,S,T20,T20,2,,,,,False,-121.708142,36.870039,-152055.4,-126058.0
2715317,True,A,Monterey,1.0559093923608593,1.055913604340639,S,T20,T20,2,,,,,False,-121.703001,36.864322,-151609.3,-126701.6
2715295,True,A,Monterey,14.798281789703353,14.798340999187575,S,T20,T20,2,,,,,False,-121.763955,36.858566,-157047.0,-127242.1
