feb_n,feb_ndvi,post_n,post_ndvi,pre_n,pre_ndvi,unit_id,group
4.0,0.3606458348039742,14.0,0.41321168638367994,6.0,0.3809101536565497,4400056,A units
2.9622060142751274,0.377368903647947,10.367721049962949,0.3856409746437058,4.3617925816139484,0.3978427521972493,4400039,A units
10.999906480875339,0.24706913202925768,25.87533900682689,0.2581450007984795,10.999906480875339,0.24706913202925768,4400035,A units
4.2125543358137465,0.40532350091139185,14.0,0.4229663614849786,6.212554335813747,0.4231709306333004,4400031,A units
4.833800500803527,0.4508511765704818,14.0,0.4851444723450664,6.833800500803528,0.49256520605089055,4400011,A units
8.0,0.44800917061313544,28.0,0.3863778953442379,12.0,0.4423225843320015,4400006,A units
4.851146634074171,0.35646849498092836,14.0,0.3896244547086701,6.851146634074172,0.3849940199608289,4400005,A units
4.0,0.4528417525225068,14.0,0.4646507702373302,6.0,0.4810310395004294,4400004,A units
4.710065199674002,0.3672660064074662,14.0,0.4451588232680463,6.710065199674004,0.3904003657398585,4404078,A units
4.923484880886189,0.3921563930547879,14.0,0.38030611720889085,6.923484880886191,0.41232098308306425,4404045,A units
4.638051014403766,0.2895873251906022,14.0,0.4103092756663218,6.638051014403762,0.30424509937384964,4405091,A units
4.0,0.44425750672007497,14.0,0.4470824381859631,6.0,0.4607008180993184,4403743,A units
4.0,0.33015699687236444,14.0,0.46846633277155364,6.0,0.3468341439207955,4403738,A units
6.0,0.3862866368283257,14.0,0.38268492193214604,8.0,0.40947459085463894,4403731,A units
6.0,0.5278622310505787,14.0,0.47167151557417336,8.0,0.5378680513048625,4403728,A units
4.0,0.5710705718063139,14.0,0.4523154438801617,6.0,0.6016068236886252,4403726,A units
2.0,0.09988143787046438,8.0,0.1863859766104641,3.0,0.08570545497862408,4403725,A units
6.0,0.5115270980286628,15.734403065501139,0.470233901494289,8.0,0.5192371001802791,4404030,A units
6.0,0.34838042894466603,14.0,0.367139829897296,8.0,0.37087167374467883,4405096,A units
5.210927028041394,0.4110834635708278,14.0,0.3998299844223058,7.210927028041393,0.44234670871614784,4403991,A units
4.0,0.3398879418385756,14.0,0.3862898360268347,6.0,0.3701335870082742,4403956,A units
4.0,0.0842424258758385,14.0,0.12519450844515093,6.0,0.08395243255506978,4403933,A units
4.0,0.5660749958568293,14.0,0.5457879000434851,6.0,0.5968774783004593,4403904,A units
4.0,0.3506465150851414,14.0,0.339551010785627,6.0,0.3757701465433383,4403896,A units
4.0,0.34694370557933324,14.0,0.24411557114377994,6.0,0.33928795598048817,4403892,A units
4.0,0.4192573426562087,14.0,0.3912082057302739,6.0,0.43969104541437154,4403887,A units
4.0,0.6149146494273672,14.0,0.5482696490869204,6.0,0.6485105045120438,4403881,A units
6.0,0.11151846453892507,14.0,0.16810153228658234,8.0,0.10770640187584814,4404594,A units
6.0,0.5604751195422942,16.0,0.48007733718336826,8.0,0.5746200602173216,4404595,A units
4.0,0.41005247246916104,14.0,0.4278251634348682,6.0,0.4379029416690156,4403864,A units
2.0,0.5709420955504508,7.002252472823426,0.5067640595738585,2.0,0.5709420955504508,4403853,A units
4.0,0.22106526436438126,14.0,0.2951183225311025,6.0,0.22753130142328012,4403852,A units
4.0,0.4555421570586466,14.0,0.46471493421095666,6.0,0.48438024705143373,4403848,A units
6.0,0.48597749232671433,14.0,0.48885835837138475,8.0,0.5007300686574733,4403840,A units
