product,window,median diff (mm),mean abs diff (mm),max abs diff (mm),median diff (%),mean abs diff (%),stations high,stations low
cpc,9-14 March 2023,15.326080572605136,25.447236345495494,58.062493324279785,23.517967172112595,45.01612696195127,8,6
prism,9-14 March 2023,17.437649023532867,21.010727669209672,52.08640003204346,31.386049116901866,32.663612999593916,12,2
daymet,9-14 March 2023,13.145000255107878,19.994286017013447,51.63999862670899,19.164095445579846,35.44680477708397,12,2
imerg,9-14 March 2023,1.712498493678865,20.142857151984106,60.685001682676386,2.6422717678279257,30.181271874651905,7,7
cpc,4-16 January 2023,43.30162979066373,91.21553732369628,213.34401011466983,44.313305045453085,101.54280456787502,10,4
prism,4-16 January 2023,32.67104551829397,42.69275490902363,123.42819924354554,22.67688879548868,65.09732537030668,11,3
daymet,4-16 January 2023,46.15499932765961,61.640714532376386,162.4300006866455,32.60711466252389,74.96560268486657,12,2
imerg,4-16 January 2023,32.03499681167305,47.975713494380145,116.9099964208901,26.49062417349142,69.8644222401038,9,5
