unit_id,COUNTY,ACRES,pre_ndvi,post_ndvi,d_ndvi,pre_n,post_n,s1_vv,s1_vh,pre_vv,post_vv,d_vv,opt15,clear15,elev_m,km_to_river,d_vv_31,ndvi_gate,s1_gate,gates_fired
2717328,Monterey,42.33440191930982,0.0841479210327277,0.068791785297024,-0.0153561357357037,3.0,7.0,0.0,0.0241101719700514,-8.256262910435817,-4.156841636297259,4.099421274138558,1.0,1.0,6.84645722102013,1.3582147040022443,4.376248800336125,False,False,none
2726550,Monterey,14.249639977309704,0.0967635375997671,0.0520638297290953,-0.0446997078706718,3.0,7.0,0.0,0.1586236475078312,-7.934172926248014,-6.805212291230871,1.128960635017143,1.0,1.0,6.536406278927343,1.199261420556056,3.180605921575074,False,False,none
2726604,Monterey,12.786007509614343,0.1631177397181311,0.0583133905907341,-0.104804349127397,3.0,7.0,0.0,0.020836736545966,-7.284584772964538,-3.1959502756915072,4.088634497273031,1.0,1.0,6.3465990185820536,0.5108030319203148,3.516391469388444,False,False,none
2726556,Monterey,2.59472337242424,0.1683881074143918,0.090988563913218,-0.0773995435011737,6.0,14.0,0.0,0.0,-13.38298083359686,-9.45977005125988,3.92321078233698,0.986936681678547,1.0,5.766920174909264,0.1233759249571975,2.172251840585199,False,False,none
2726581,Monterey,9.509533318953126,0.090515766530194,0.0690158945407616,-0.0214998719894323,3.0,7.0,0.0,0.0119705415632502,-9.161297544218714,-4.322875252737608,4.8384222914811055,0.9759856776661108,0.9759856776661108,6.423505418665475,1.009867996560165,4.240762357065826,False,False,none
2725616,Monterey,29.95681311845118,0.1273371010667902,0.0844075282437174,-0.0429295728230727,3.184146810990153,7.429675892310352,0.0,0.0038268634964767,-8.450357125841471,-2.319664270532648,6.130692855308823,0.9505918589357648,0.9553179449148708,6.680050239541154,0.2076620706808798,5.226135130532645,False,False,none
2700454,Monterey,27.339691298855005,0.0711148696288116,0.0451573586628808,-0.0259575109659307,2.972960775241766,7.653846263017915,0.6241959682822263,0.4259535934123656,-14.38647675574417,-19.924604179242696,-5.538127423498526,0.9484570454409634,1.0,10.106548917555685,1.0977083209997418,1.699225747306761,False,True,radar
2712306,Monterey,22.501097789027952,0.1137637754071331,0.0505261371503123,-0.0632376382568208,2.7491416264716206,7.0,0.0,0.1575450861125828,-7.9340542455703,-2.925426203045053,5.008628042525247,0.9240537248938648,1.0,7.495003786715545,1.5684521957921356,5.357694712094425,False,False,none
2726589,Monterey,2.066884493950889,0.3371115902221722,0.1835609829956246,-0.1535506072265475,6.0,14.0,0.0,0.0042698228398067,-10.60173177564311,-8.76626809947532,1.8354636761677887,0.907636990149444,1.0,2.441913840038383,0.716736978941674,1.0583440567949491,True,False,NDVI
2726570,Monterey,4.884537565446844,0.1192012609749928,0.0796705348222177,-0.039530726152775,3.0,7.0,0.0,0.0011717574778712,-9.465968319682592,-4.108590343525586,5.357377976157007,0.894953525564898,1.0,6.821064677021086,1.6038042318940664,4.710306198777088,False,False,none
2726568,Monterey,3.397740234195094,0.1888476503944961,0.0991260285551292,-0.0897216218393669,6.0,14.0,0.0,0.2675638686131386,-10.558194761358465,-9.643931725663036,0.9142630356954288,0.884420620437956,1.0,5.8922973476187135,0.2084849160313548,0.0308510908926926,False,False,none
2726539,Monterey,1.7137543728353273,0.3354142123357237,0.223917631555862,-0.1114965807798617,6.0,14.0,0.0,0.0,-11.842970909495554,-9.318175425909624,2.5247954835859296,0.7078727723889012,1.0,2.543939488837123,0.7638276480656806,1.8033656634750572,False,False,none
2726547,Monterey,23.594859618117244,0.6484874392551283,0.3267199477603579,-0.3217674914947704,2.349379330254041,7.750288683602773,0.0,0.1283231419273567,-8.800587542933046,-4.536073470153839,4.264514072779208,0.6949303222758765,0.6949303222758765,6.920870757907932,0.954595010350068,4.303330930160855,True,False,NDVI
2711919,Monterey,9.636571452745237,0.0916999609089599,0.0821219042539481,-0.0095780566550117,6.0,14.0,0.3715266361398246,0.4304204524494983,-12.276301994597384,-14.2837540807219,-2.007452086124516,0.656885780960553,0.9658297179608496,3.707385216276729,0.8414095453763989,1.708857136946726,False,True,radar
2725632,Monterey,18.05113017483404,0.0676691422379672,0.067170758472156,-0.0004983837658111,3.0,9.0,0.5158919160569823,0.5492447363669971,-11.298559860768496,-17.09910936628673,-5.800549505518234,0.5998005450622006,1.0,5.513269415089649,1.0089995451061755,-0.6146409906168717,False,True,radar
2716751,Monterey,31.365778870105363,0.1954211034722388,0.1406568207842445,-0.0547642826879942,2.5682594193459254,7.0,0.0,0.0111907158505536,-7.15907298586707,-3.240155801846893,3.918917184020176,0.5203633528726787,0.5203633528726787,6.778066155813652,0.3503803640518798,2.8974232644739217,False,False,none
2724052,Monterey,10.904523350460568,0.1008587435134123,0.1072488717691081,0.0063901282556957,2.0,7.780748890558762,0.0,0.1838057024570756,-10.949742936657604,-10.634572873485476,0.3151700631721272,0.4877996909160512,1.0,12.81935212498269,0.1057862462339526,0.3506674075686113,False,False,none
2726662,Monterey,3.491117875379804,0.5969917210231358,0.445144645637639,-0.1518470753854968,3.0,7.049225688400933,0.0646896059267193,0.1265452760298121,-11.915229634329656,-11.64227961330552,0.2729500210241351,0.3148123354308921,1.0,9.129854829817743,0.6611135725603411,1.7755815844330112,True,False,NDVI
