product,reference median (mm),reference min,reference max,dry median (mm),difference,all units min,all units max
cpc (Precipitation),79.23750667572023,79.23750667572023,79.23750667572023,79.23750667572023,0.0,67.2694429397583,143.29941444396974
prism (ANd),92.34999752044678,57.39879907667637,104.31609773635864,85.13939964771271,7.21059787273407,52.11849948763847,177.3479986190796
daymet (DAYMET_V4),104.87999892234802,54.339998722076416,109.24000072479248,96.6399998664856,8.239999055862427,53.03999996185303,171.839994430542
imerg (IMERG_V07),65.42499778792262,65.42499778792262,74.6749985376373,67.69999848026782,-2.275000692345202,60.79499866068363,88.85499844513834
