unit_id,is_unit,sequence,COUNTY,ACRES,lon,lat,elev_m,km_to_river,t20_peak_date,crop_sequence,truth,opt15,clear15,s1_vv,s1_vh,s1_both,pre_vv,post_vv,d_vv,d_vv_31,base_vv,base_vh,pre_ndvi,post_ndvi,d_ndvi,pre_n,post_n,image_trigger,cpc_event,prism_event,daymet_event,imerg_event,cpc_jan,prism_jan,daymet_jan,imerg_jan,rain_spread_mm
4400056,True,A,Santa Cruz,1.1747717001291642,-121.825596,36.882558,39.09754941182148,2.0927315471939445,,T20,unknown,0.0,0.0,0.0266974291364535,0.0226104152933421,0.0,-16.163312914315696,-16.236866573623516,-0.0735536593078194,0.5440785485340918,0.8748187211601847,0.9186552406064604,0.3809101536565497,0.4132116863836799,0.0323015327271302,6.0,14.0,False,79.23750667572023,109.97149848937988,112.0700011253357,67.69999848026782,151.53327037096025,193.0911934375763,209.69000244140625,191.6849961988628,44.37000264506787
4400044,False,B,Santa Cruz,2.709339461780984,-121.819046,36.909184,,,2022-10-27,T20 > G6,not a unit (sequence B/C),,,,,,,,,,,,,,,,,False,,,,,,,,,
4400039,True,A,Santa Cruz,1.9784949112048005,-121.70246,36.950744,76.75423317427216,2.774527976248533,,T20,unknown,0.0,0.0,0.0,0.0074495885174928,0.0,-11.678465484317533,-10.781956994881645,0.8965084894358881,1.359149870391171,0.0,0.0099457857170716,0.3978427521972493,0.3856409746437058,-0.0122017775535435,4.3617925816139484,10.367721049962949,False,79.23750667572023,153.09749460220337,121.9400029182434,69.51999836880714,151.53327037096025,282.29499101638794,218.49999928474423,182.43499598558992,83.57749623339623
4400035,True,A,Santa Cruz,0.8260566718763551,-121.789214,37.007027,164.73126882112336,0.4031027018174234,,T20,not_flooded,0.0,1.0,0.0,0.0,0.0,-6.4749282219711,-6.038332173141665,0.4365960488294345,1.794158990327257,0.0,0.0,0.2470691320292576,0.2581450007984795,0.0110758687692218,10.99990648087534,25.87533900682689,False,93.41878204345704,176.05749702453613,143.0500030517578,76.09999848809093,265.14551376700405,337.0701928138733,286.07000279426575,179.06999479606748,99.9574985364452
4400034,False,B,Santa Cruz,2.62193173949802,-121.75989,36.978506,,,2023-02-23,T20 > X,not a unit (sequence B/C),,,,,,,,,,,,,,,,,False,,,,,,,,,
4400031,True,A,Santa Cruz,2.096335212996828,-121.813282,36.886611,42.48050622582428,0.996631576199074,,T20,not_flooded,0.0,1.0,0.0,0.0024312974287187,0.0,-16.110467475554564,-14.489474602169429,1.6209928733851378,0.7838656990835027,0.8389449642672953,0.9959846754586312,0.4231709306333004,0.4229663614849786,-0.0002045691483217,6.212554335813747,14.0,False,79.23750667572023,109.97149848937988,110.84999990463255,67.69999848026782,151.53327037096025,193.0911934375763,204.6899991035461,191.6849961988628,43.15000142436473
4400011,True,A,Santa Cruz,2.0745258346942586,-121.810757,36.884994,31.758190729294,0.7719143504420471,,T20,unknown,0.0,0.0,0.0,0.0178644840602459,0.0,-16.03842556501163,-14.444467774369716,1.5939577906419142,1.7285243866414053,0.7759091078969991,0.6645363830025788,0.4925652060508905,0.4851444723450664,-0.0074207337058241,6.833800500803528,14.0,False,79.23750667572023,97.8693985939026,110.84999990463255,67.69999848026782,151.53327037096025,183.5908932685852,204.6899991035461,191.6849961988628,43.15000142436473
4400006,True,A,Santa Cruz,3.733910958486627,-121.808163,36.953073,72.33688950006096,0.3534609464413662,,T20,not_flooded,0.0,1.0,0.0,0.0,0.0,-9.364836125088276,-8.965364455990661,0.3994716690976148,0.5618822531601531,0.0,0.0052836600223778,0.4423225843320015,0.3863778953442379,-0.0559446889877636,12.0,28.0,False,79.23750667572023,138.15709829330444,128.98000240325928,76.7449983721599,151.53327037096025,250.71009016036987,243.3299998044968,187.7149960519746,61.412099921144545
4400005,True,A,Santa Cruz,2.4051222358338857,-121.810058,36.887064,29.30135864622708,0.7096802755103228,,T20,unknown,0.0,0.0,0.0,0.0004181274323759,0.0,-15.472422758381777,-13.820172999092506,1.652249759289269,1.2465158847022728,0.6179280177543341,0.8832459554211831,0.3849940199608289,0.3896244547086701,0.0046304347478411,6.851146634074172,14.0,False,79.23750667572023,97.8693985939026,110.84999990463255,67.69999848026782,151.53327037096025,183.5908932685852,204.6899991035461,191.6849961988628,43.15000142436473
4400004,True,A,Santa Cruz,2.213606540389561,-121.817612,36.880117,34.46059975744677,1.3878655354326792,,T20,unknown,0.0,0.0434888919938521,0.0,0.0208537096548833,0.0,-15.17338000687721,-13.538342675978845,1.6350373308983652,1.120124176026298,0.5423711052116809,0.939569652088864,0.4810310395004294,0.4646507702373302,-0.0163802692630992,6.0,14.0,False,79.23750667572023,109.97149848937988,107.05999946594238,67.69999848026782,151.53327037096025,193.0911934375763,202.0200023651123,191.6849961988628,42.27150000911206
4404583,False,B,Santa Cruz,5.365063792687872,-121.81658,36.908992,,,2022-10-19,T20 > G6,not a unit (sequence B/C),,,,,,,,,,,,,,,,,False,,,,,,,,,
4404078,True,A,Santa Cruz,1.143365312959088,-121.803784,36.890408,14.210814661773709,0.151269407276131,,T20,unknown,0.0,0.0069274653626731,0.0,0.2553653898397174,0.0,-13.955560162220989,-12.652489102004363,1.3030710602166238,1.0004395734313736,0.1731866340668296,0.5011545775604456,0.3904003657398585,0.4451588232680463,0.0547584575281878,6.710065199674004,14.0,False,79.23750667572023,97.8693985939026,106.75000071525574,67.69999848026782,151.53327037096025,183.5908932685852,197.81000089645383,191.6849961988628,39.050002234987915
4404056,False,B,Santa Cruz,0.9439343763757224,-121.817448,36.909305,,,2022-10-26,T20 > G6,not a unit (sequence B/C),,,,,,,,,,,,,,,,,False,,,,,,,,,
4404045,True,A,Santa Cruz,1.8058301089394413,-121.81142,36.886309,35.592567730590325,0.8309104905560569,,T20,unknown,0.0,0.0281425088747273,0.0,0.0,0.0,-15.45496529658428,-13.937687942537702,1.5172773540465787,1.7981973740216546,0.6384671314315042,0.7732774475001069,0.4123209830830642,0.3803061172088908,-0.0320148658741734,6.923484880886191,14.0,False,79.23750667572023,97.8693985939026,110.84999990463255,67.69999848026782,151.53327037096025,183.5908932685852,204.6899991035461,191.6849961988628,43.15000142436473
4405090,False,B,Santa Cruz,7.247370836678657,-121.781338,36.886436,,,2022-10-19,T20 > X,not a unit (sequence B/C),,,,,,,,,,,,,,,,,False,,,,,,,,,
4405091,True,A,Santa Cruz,6.045885519061699,-121.818781,36.922842,70.41693630897274,1.4853522358652789,,T20,unknown,0.0,0.0,0.0012664057103384,0.0107580525494409,0.0001407117455931,-10.879627784771078,-10.444524484190069,0.4351033005810105,0.0637519170442235,0.0780950188042059,0.4119784071430396,0.3042450993738496,0.4103092756663218,0.1060641762924721,6.638051014403762,14.0,False,79.23750667572023,134.08640003204346,125.01999759674072,76.7449983721599,151.53327037096025,240.0761926174164,229.32999597489837,187.7149960519746,57.34140165988356
4405093,False,B,Santa Cruz,28.306909023465963,-121.825588,36.897488,,,2022-11-03,T20 > X,not a unit (sequence B/C),,,,,,,,,,,,,,,,,False,,,,,,,,,
4403743,True,A,Santa Cruz,8.604928773349535,-121.797137,36.919001,35.053853937800106,0.4401409791050245,,T20,unknown,0.0,0.2018543592686579,0.0,0.0,0.0,-5.9263313123928105,-5.468895196389283,0.4574361160035272,0.8963235157726892,0.0,0.0,0.4607008180993184,0.4470824381859631,-0.0136183799133552,6.0,14.0,False,79.23750667572023,120.51449966430664,115.53000116348268,69.51999836880714,151.53327037096025,212.02269220352173,212.82999968528748,182.43499598558992,50.994501295499504
4403738,True,A,Santa Cruz,1.065323431843525,-121.821895,36.883378,32.71341641367198,1.763293220391838,,T20,not_flooded,0.0,1.0,0.0,0.2093210418495757,0.0,-16.091436338457132,-14.100899632018448,1.9905367064386856,4.598018572175221,0.7601697395376061,0.8030436055019022,0.3468341439207955,0.4684663327715536,0.1216321888507581,6.0,14.0,False,79.23750667572023,109.97149848937988,112.0700011253357,67.69999848026782,151.53327037096025,193.0911934375763,209.69000244140625,191.6849961988628,44.37000264506787
4403731,True,A,Santa Cruz,0.841192333768267,-121.826998,36.914312,84.59478371326973,2.0521673350789893,,T20,unknown,0.0,0.0,0.0,0.0,0.0,-14.36787770189395,-13.183142488724258,1.1847352131696915,1.7253453527059437,0.2034333975947856,0.9831084182502524,0.4094745908546389,0.382684921932146,-0.0267896689224929,8.0,14.0,False,79.23750667572023,134.08640003204346,122.6900029182434,76.7449983721599,151.53327037096025,240.0761926174164,223.79000115394592,187.7149960519746,57.34140165988356
4403728,True,A,Santa Cruz,1.0258012467241109,-121.82917,36.916867,65.3190032301814,2.3562298221821365,,T20,unknown,0.0,0.0,0.0,0.0,0.0,-13.017854238110225,-12.00022282642691,1.017631411683313,0.7805259886426654,0.2696485141046915,0.3097752300497813,0.5378680513048625,0.4716715155741733,-0.0661965357306891,8.0,14.0,False,79.23750667572023,134.08640003204346,122.6900029182434,76.7449983721599,151.53327037096025,240.0761926174164,223.79000115394592,187.7149960519746,57.34140165988356
