post window,reference units with data,median clear obs,reference median ΔNDVI,reference 10th pct,dry median ΔNDVI,reference units below -0.15
spec default (20 Mar - 30 Apr),18,7.541761077664134,-0.049731995279333,-0.152358134937812,0.05256017665424765,3
15 Mar only,18,1.0,-0.39949912581755964,-0.5386696609444215,0.012973973490985502,18
20 Mar only,17,1.0,-0.0623041022002884,-0.2132502964965835,0.014087992854102907,3
25 Mar only,18,1.0,-0.037457863475388806,-0.13380681230397254,0.03551425240577994,1
20-31 Mar,18,2.0,-0.0377141494655855,-0.15996515140522044,0.029634207580425398,2
