mask,acres,% of the statistics region,stats_region_acres
VV only (spec),4718.489306240117,1.4493998340373129,325548
VH only (spec thresholds),7975.105411397421,2.449749423914721,325548
VH only (VH -22 dB),7089.461583036123,2.177702178592912,325548
VV and VH (both),2891.9540067337794,0.8883346735278533,325548
VV or VH (either),8915.996882557545,2.7387673391070053,325548
