station,name,km_to_nearest_unit,cpc_event,cpc_jan,prism_event,prism_jan,daymet_event,daymet_jan,imerg_event,imerg_jan,station_event,station_jan
214,Salinas South II,0.18287159558968813,79.23750667572023,151.53327037096025,73.45779949426651,149.02059602737427,63.13999938964844,112.42000102996826,64.07999862823635,150.48499644175172,55.1,44.2
209,Watsonville West II,0.2772173123355401,79.23750667572023,151.53327037096025,134.08640003204346,240.07619261741638,122.69000291824341,223.79000115394592,76.7449983721599,187.7149960519746,82.0,198.4
116,Salinas North,0.8211240410655387,79.23750667572023,151.53327037096025,63.64009752869606,120.86589841917157,58.13000011444092,107.67999958992004,64.07499833405018,159.3199963029474,58.5,97.2
129,Pajaro,0.8301193022989067,79.23750667572023,151.53327037096025,101.1646978855133,198.14249396324158,105.16000044345856,190.8699986934662,69.51999836880714,182.43499598558992,98.1,210.0
113,King City-Oasis Rd.,2.7424679580016553,81.81465446949005,298.9440101146698,70.43569827079773,160.184796333313,94.61999928951263,216.33999824523926,68.8349982490763,140.8249972462654,64.9,112.10000000000001
114,Arroyo Seco,4.712392560992807,81.81465446949005,298.9440101146698,66.66319765622029,152.95189690589905,85.43999862670898,248.0300006866455,60.79499866068363,146.92499730549753,33.8,85.6
229,Laguna Seca,10.255466822897391,79.23750667572023,151.53327037096025,69.01749855279922,146.37629556655884,70.63999938964844,151.52000081539154,82.33999871276319,164.54499637708068,52.5,129.2
143,San Juan Valley,11.328439364937582,67.2694429397583,130.8699892103672,80.31399714946747,154.22819924354553,83.14000201225281,132.81000185012817,63.86499824933708,147.7099964208901,100.8,30.8
104,De Laveaga,12.69117710160356,79.23750667572023,151.53327037096025,180.2888994216919,353.61149084568024,171.42000484466553,363.8400037381798,76.61499831732363,197.1449954751879,137.3,274.6
211,Gilroy,15.16443006292619,93.41878204345704,265.14551376700405,123.29239749908447,203.7131953239441,113.79999959468842,214.99999904632568,73.48499863687903,159.71999603882432,97.2,162.0
193,Pacific Grove,15.22144510380404,79.23750667572023,151.53327037096025,64.63979914784431,128.82659554481506,55.290000915527344,137.22999772429466,57.29999846499413,177.30999545939267,45.6,121.30000000000001
252,Soledad II,15.313469751353288,81.81465446949005,298.9440101146698,49.472299575805664,118.56109714508057,71.5600004196167,263.1199998855591,62.30499806813896,156.3899961821735,36.900000000000006,129.4
210,Carmel,18.440683781939377,79.23750667572023,151.53327037096025,91.80299699306488,175.6165955066681,72.2500005736947,163.15000122785568,64.98999873828143,166.70999595429748,65.5,180.7
126,San Benito,21.32899972402149,67.2694429397583,130.8699892103672,64.5975975394249,114.06359851360321,82.47999995946884,137.90999960899353,63.8099983073771,144.57499669119716,77.69999999999999,98.6
