band,pairs_n,mean_sep_km,mean_abs_diff_march,mean_abs_diff_january
< 15 km,6,10.97567388914481,13.683333333333335,40.33333333333332
15-30 km,18,23.33727038587394,20.01111111111111,72.77777777777777
30-50 km,31,39.741670126407115,34.5774193548387,82.90967741935485
> 50 km,36,71.9006716240239,42.00833333333333,79.09722222222223
