base_vh,base_vv,clear15,opt15,post_vh,post_vv,pre_vh,pre_vv,field_id,crop_class,d_vv,d_vh
0.9186552406064603,0.8748187211601847,0.0,0.0,-22.310206668452693,-16.236866573623516,-24.33454615980122,-16.163312914315696,4400056,T20,-0.07355365930781943,2.0243394913485275
0.00994578571707165,0.0,0.0,0.0,-19.508976195596954,-10.781956994881645,-19.569158934764832,-11.678465484317533,4400039,T20,0.8965084894358881,0.060182739167878196
0.0,0.0,1.0,0.0,-17.326286924452816,-6.038332173141665,-17.628345872933174,-6.4749282219710995,4400035,T20,0.4365960488294345,0.30205894848035797
0.9959846754586311,0.8389449642672953,1.0,0.0,-23.75135461248025,-14.489474602169427,-25.591172805759467,-16.110467475554564,4400031,T20,1.6209928733851378,1.8398181932792177
0.6645363830025788,0.7759091078969991,0.0,0.0,-21.732380011186265,-14.444467774369715,-22.60754714840609,-16.03842556501163,4400011,T20,1.5939577906419142,0.875167137219826
0.0052836600223778556,0.0,1.0,0.0,-17.193038560320996,-8.965364455990661,-18.390041514301373,-9.364836125088276,4400006,T20,0.3994716690976148,1.1970029539803768
0.8832459554211831,0.6179280177543341,0.0,0.0,-22.406296336522924,-13.820172999092506,-24.855132459319787,-15.472422758381775,4400005,T20,1.652249759289269,2.4488361227968625
0.9395696520888641,0.5423711052116809,0.043488891993852176,0.0,-23.41713285501024,-13.538342675978845,-24.53459870761369,-15.17338000687721,4400004,T20,1.6350373308983652,1.1174658526034484
0.5011545775604456,0.17318663406682966,0.006927465362673187,0.0,-23.087637929847684,-12.652489102004365,-21.18002517115233,-13.955560162220989,4404078,T20,1.3030710602166238,-1.907612758695354
0.7732774475001069,0.6384671314315042,0.02814250887472734,0.0,-23.328648859594562,-13.937687942537702,-23.45429963311657,-15.45496529658428,4404045,T20,1.5172773540465787,0.1256507735220076
0.4119784071430396,0.07809501880420595,0.0,0.0,-20.731213606566445,-10.444524484190067,-21.651986765852396,-10.879627784771078,4405091,T20,0.43510330058101054,0.9207731592859503
0.0,0.0,0.2018543592686579,0.0,-17.431186844040134,-5.468895196389283,-18.13979999850067,-5.9263313123928105,4403743,T20,0.4574361160035272,0.7086131544605365
0.8030436055019022,0.7601697395376061,1.0,0.0,-24.066245258980004,-14.100899632018447,-23.633759238535458,-16.091436338457132,4403738,T20,1.9905367064386859,-0.4324860204445464
0.9831084182502523,0.20343339759478563,0.0,0.0,-23.9507841000145,-13.183142488724258,-24.692649512568163,-14.36787770189395,4403731,T20,1.1847352131696915,0.7418654125536648
0.3097752300497813,0.26964851410469154,0.0,0.0,-18.934658104013153,-12.00022282642691,-19.691693066531137,-13.017854238110223,4403728,T20,1.017631411683313,0.7570349625179844
0.0,0.0,0.0,0.0,-17.363010807014053,-9.961074435391266,-18.47822851617716,-10.98134461206622,4403726,T20,1.0202701766749538,1.1152177091631081
0.6169418546104831,0.03866520825737452,0.0,0.0,-21.801797102061148,-11.873043446210042,-22.389441942470295,-12.914074477400018,4403725,T20,1.0410310311899753,0.5876448404091477
0.022901448928272068,0.0,0.0,0.0,-18.51148472918335,-10.773893340071362,-18.925194893571646,-10.835012858010705,4404030,T20,0.06111951793934267,0.413710164388295
0.4867163608562692,0.0,0.0,0.0,-21.478207145569026,-10.524070049682821,-21.78940528966115,-11.006200833699442,4405096,T20,0.48213078401662024,0.3111981440921241
0.9262237949707791,0.40180151198327185,1.0,0.0,-23.459553261972616,-13.54062076281352,-24.877286535906215,-14.637199165597412,4403991,T20,1.0965784027838925,1.4177332739335995
0.9971058434399118,0.681532524807056,0.8807331863285555,0.0,-25.091107609455822,-15.564536451273533,-25.761386405213678,-16.312910053301128,4403956,T20,0.7483736020275948,0.6702787957578558
