unit_id,COUNTY,ACRES,sequence,s1_vv,s1_vh,s1_both,s1_vv_acres,s1_vh_acres,s1_both_acres
4400056,Santa Cruz,1.1747717001291642,A,0.026697429136453524,0.02261041529334212,0.0,0.03136338421570939,0.02656207601478598,0.0
4400039,Santa Cruz,1.9784949112048005,A,0.0,0.007449588517492882,0.0,0.0,0.014738972972429381,0.0
4400035,Santa Cruz,0.8260566718763551,A,0.0,0.0,0.0,0.0,0.0,0.0
4400031,Santa Cruz,2.096335212996828,A,0.0,0.002431297428718779,0.0,0.0,0.005096814413091822,0.0
4400011,Santa Cruz,2.0745258346942586,A,0.0,0.017864484060245916,0.0,0.0,0.03706033370646394,0.0
4400006,Santa Cruz,3.733910958486627,A,0.0,0.0,0.0,0.0,0.0,0.0
4400005,Santa Cruz,2.4051222358338857,A,0.0,0.00041812743237592875,0.0,0.0,0.0010056475850194757,0.0
4400004,Santa Cruz,2.213606540389561,A,0.0,0.020853709654883326,0.0,0.0,0.04616190808343467,0.0
4404078,Santa Cruz,1.143365312959088,A,0.0,0.25536538983971746,0.0,0.0,0.29197592887300805,0.0
4404045,Santa Cruz,1.8058301089394413,A,0.0,0.0,0.0,0.0,0.0,0.0
4405091,Santa Cruz,6.045885519061699,A,0.0012664057103384764,0.010758052549440997,0.00014071174559316405,0.007656543945392439,0.06504195412197011,0.0008507271050436043
4403743,Santa Cruz,8.604928773349535,A,0.0,0.0,0.0,0.0,0.0,0.0
4403738,Santa Cruz,1.065323431843525,A,0.0,0.2093210418495757,0.0,0.0,0.22299461066025208,0.0
4403731,Santa Cruz,0.841192333768267,A,0.0,0.0,0.0,0.0,0.0,0.0
4403728,Santa Cruz,1.0258012467241109,A,0.0,0.0,0.0,0.0,0.0,0.0
4403726,Santa Cruz,0.8082009305459148,A,0.0,0.0,0.0,0.0,0.0,0.0
4403725,Santa Cruz,4.45275772278153,A,0.0,0.014497282844592601,0.0,0.0,0.06455288814560789,0.0
4404030,Santa Cruz,10.332055546948308,A,0.0,0.01508801341156747,0.0,0.0,0.15589019266141613,0.0
4405096,Santa Cruz,1.6257873710425554,A,0.0,0.036553899082568814,0.0,0.0,0.05942886749080443,0.0
4403991,Santa Cruz,1.4359245503271898,A,0.0,0.0002680821403678087,0.0,0.0,0.00038494572685839626,0.0
4403956,Santa Cruz,2.8003072492588,A,0.0,0.014057331863285548,0.0,0.0,0.03936484832199524,0.0
4403933,Santa Cruz,1.3861742328281037,A,0.0,0.014139607667803047,0.0,0.0,0.01959995981140726,0.0
4403904,Santa Cruz,1.410063610428233,A,0.0,0.05826685006877578,0.0,0.0,0.0821599649762585,0.0
4403896,Santa Cruz,1.897697305439742,A,0.03226595961656129,0.010238629410564961,0.0,0.06123102462177589,0.01942981944382522,0.0
4403892,Santa Cruz,2.4777365070234416,A,0.0636584909193035,0.012294826187355676,0.0,0.15772896693277855,0.03046333969191899,0.0
4403887,Santa Cruz,1.747129976571347,A,0.0,0.0,0.0,0.0,0.0,0.0
4403881,Santa Cruz,1.3448818716762896,A,0.0,0.0,0.0,0.0,0.0,0.0
4404594,Santa Cruz,13.292854499047692,A,0.0010009136246457522,0.03029509494131271,0.0,0.013304999178530421,0.40270828908970563,0.0
4404595,Santa Cruz,3.980121662745784,A,0.023179129085442732,0.01322859082533217,0.008340607118611192,0.09225575379655149,0.052651400911504706,0.0331966310732361
4403864,Santa Cruz,0.9462928866129624,A,0.0,0.013811703170970902,0.0,0.0,0.013069916462699461,0.0
4403853,Santa Cruz,1.5763704911080176,A,0.0,0.005827049260601312,0.0,0.0,0.0091855885046447,0.0
4403852,Santa Cruz,1.0178563214580614,A,0.0,0.0,0.0,0.0,0.0,0.0
4403848,Santa Cruz,2.671325406970798,A,0.0,0.0,0.0,0.0,0.0,0.0
4403840,Santa Cruz,1.1510541969604722,A,0.0,0.0,0.0,0.0,0.0,0.0
4403838,Santa Cruz,1.285922836429835,A,0.0,0.0,0.0,0.0,0.0,0.0
4403837,Santa Cruz,1.6837984120050418,A,0.0,0.0,0.0,0.0,0.0,0.0
4403812,Santa Cruz,2.311280146770014,A,0.0008042625917362018,0.04172112194631547,0.0008042625917362018,0.0018588761610696804,0.09642920085548967,0.0018588761610696804
4404222,Santa Cruz,6.479674483069837,A,0.0,0.0007882855982609941,0.0,0.0,0.005107834076423204,0.0
4403806,Santa Cruz,1.0065655145087038,A,0.0,0.0,0.0,0.0,0.0,0.0
4403769,Santa Cruz,3.241280571872397,A,0.0,0.0,0.0,0.0,0.0,0.0
4403708,Santa Cruz,1.1326447355472629,A,0.017439474764054167,0.05279715497196006,0.0,0.019752729282215296,0.059800419630863556,0.0
