id,acquired_utc,date,item_type,satellite_id,instrument,quality_category,cloud_percent_scene,clear_percent_scene,visible_percent_scene,shadow_percent,heavy_haze_percent,usable_data,units_intersected,pct_units_intersected,pct_unit_area_covered,intersects_lower_pajaro,n_permissions
20230313_183111_77_248f,2023-03-13T18:31:11.77807Z,2023-03-13,PSScene,248f,PSB.SD,test,100,0,0,0,0,,2,0.15151515151515152,0.03759652374730946,False,0
20230313_183113_98_248f,2023-03-13T18:31:13.988014Z,2023-03-13,PSScene,248f,PSB.SD,test,90,9,9,0,1,,2,0.15151515151515152,0.03759652374730946,False,0
20230315_174949_31_2431,2023-03-15T17:49:49.317813Z,2023-03-15,PSScene,2431,PSB.SD,standard,63,31,37,6,0,,0,0.0,0.0,False,0
20230315_174951_51_2431,2023-03-15T17:49:51.511268Z,2023-03-15,PSScene,2431,PSB.SD,standard,57,40,43,3,0,,106,8.030303030303031,11.566533043657595,False,0
20230315_174953_70_2431,2023-03-15T17:49:53.704723Z,2023-03-15,PSScene,2431,PSB.SD,standard,11,87,89,2,0,,68,5.151515151515151,5.891886157326966,False,0
20230315_183011_33_2477,2023-03-15T18:30:11.330116Z,2023-03-15,PSScene,2477,PSB.SD,standard,75,24,25,1,0,,0,0.0,0.0,False,0
20230315_183013_54_2477,2023-03-15T18:30:13.540643Z,2023-03-15,PSScene,2477,PSB.SD,standard,79,17,21,4,0,,371,28.106060606060606,21.19562167279207,True,0
20230315_183015_75_2477,2023-03-15T18:30:15.75117Z,2023-03-15,PSScene,2477,PSB.SD,standard,38,51,62,11,0,,726,55.00000000000001,56.89497825078021,True,0
20230315_183017_96_2477,2023-03-15T18:30:17.961697Z,2023-03-15,PSScene,2477,PSB.SD,standard,17,77,83,7,0,,317,24.015151515151516,39.58535960694528,False,0
20230315_183020_17_2477,2023-03-15T18:30:20.172204Z,2023-03-15,PSScene,2477,PSB.SD,standard,18,78,82,4,0,,1,0.07575757575757576,0.01704612736557911,False,0
20230315_184248_65_2414,2023-03-15T18:42:48.659615Z,2023-03-15,PSScene,2414,PSB.SD,standard,58,39,42,3,0,,167,12.651515151515152,5.923338259152884,True,0
20230315_184250_70_2414,2023-03-15T18:42:50.708662Z,2023-03-15,PSScene,2414,PSB.SD,standard,14,85,86,1,0,,409,30.984848484848488,22.114132796115157,True,0
20230316_183545_80_241c,2023-03-16T18:35:45.800673Z,2023-03-16,PSScene,241c,PSB.SD,standard,1,97,99,2,0,,64,4.848484848484849,2.724111061422131,True,0
20230316_183548_01_241c,2023-03-16T18:35:48.011849Z,2023-03-16,PSScene,241c,PSB.SD,standard,3,95,97,2,0,,564,42.72727272727273,34.266021521742836,True,0
20230316_183550_22_241c,2023-03-16T18:35:50.223005Z,2023-03-16,PSScene,241c,PSB.SD,standard,4,93,96,3,0,,573,43.40909090909091,61.38984822611139,False,0
20230316_183552_43_241c,2023-03-16T18:35:52.434181Z,2023-03-16,PSScene,241c,PSB.SD,standard,2,95,98,2,0,,117,8.863636363636363,13.044684902600865,False,0
20230317_175249_09_2423,2023-03-17T17:52:49.095834Z,2023-03-17,PSScene,2423,PSB.SD,standard,2,98,98,0,0,,102,7.727272727272727,4.714950959723759,True,0
20230317_175253_47_2423,2023-03-17T17:52:53.473722Z,2023-03-17,PSScene,2423,PSB.SD,test,34,61,62,1,5,,117,8.863636363636363,13.109932672284204,False,0
