commodity_year,state_code,state_abbrev,county_code,county_name,commodity_code,commodity_name,insurance_plan_code,insurance_plan_abbrev,coverage_category,stage_code,cause_code,cause_description,month_of_loss,month_name,year_of_loss,policies_earning_premium,policies_indemnified,net_planted_quantity,net_endorsed_acres,liability,total_premium,producer_paid_premium,subsidy,state_private_subsidy,additional_subsidy,efa_premium_discount,net_determined_quantity,indemnity_amount,loss_ratio,indemnity,acres,year
2023,06,CA,053,Monterey,0154,Strawberries,21,PRH-Y,C,H ,51,Flood,03,MAR,2023,2,2,111.9500000000,.0000000000,1518074.5000000000,4132.5000000000,.0000000000,4132.5000000000,.0000000000,.0000000000,.0000000000,143.5000000000,-81927.0000000000,-19.83,-81927.0,143.5,2023
2023,06,CA,053,Monterey,0154,Strawberries,21,PRH-Y,C,UH,51,Flood,03,MAR,2023,2,2,111.9500000000,.0000000000,1518074.5000000000,4132.5000000000,.0000000000,4132.5000000000,.0000000000,.0000000000,.0000000000,80.4000000000,579486.0000000000,140.23,579486.0,80.4,2023
