feb_n,feb_ndvi,post_n,post_ndvi,pre_n,pre_ndvi,unit_id,COUNTY,ACRES,lon,lat,sequence,d_ndvi
4.0,0.3606458348039742,14.0,0.41321168638367994,6.0,0.3809101536565497,4400056,Santa Cruz,1.1747717001291642,-121.825596,36.882558,A,0.03230153272713027
2.9622060142751274,0.377368903647947,10.367721049962949,0.3856409746437058,4.3617925816139484,0.3978427521972493,4400039,Santa Cruz,1.9784949112048005,-121.70246,36.950744,A,-0.012201777553543514
10.999906480875339,0.24706913202925768,25.87533900682689,0.2581450007984795,10.999906480875339,0.24706913202925768,4400035,Santa Cruz,0.8260566718763551,-121.789214,37.007027,A,0.011075868769221842
4.2125543358137465,0.40532350091139185,14.0,0.4229663614849786,6.212554335813747,0.4231709306333004,4400031,Santa Cruz,2.096335212996828,-121.813282,36.886611,A,-0.00020456914832178708
4.833800500803527,0.4508511765704818,14.0,0.4851444723450664,6.833800500803528,0.49256520605089055,4400011,Santa Cruz,2.0745258346942586,-121.810757,36.884994,A,-0.007420733705824134
8.0,0.44800917061313544,28.0,0.3863778953442379,12.0,0.4423225843320015,4400006,Santa Cruz,3.733910958486627,-121.808163,36.953073,A,-0.05594468898776361
4.851146634074171,0.35646849498092836,14.0,0.3896244547086701,6.851146634074172,0.3849940199608289,4400005,Santa Cruz,2.4051222358338857,-121.810058,36.887064,A,0.0046304347478411945
4.0,0.4528417525225068,14.0,0.4646507702373302,6.0,0.4810310395004294,4400004,Santa Cruz,2.213606540389561,-121.817612,36.880117,A,-0.016380269263099212
4.710065199674002,0.3672660064074662,14.0,0.4451588232680463,6.710065199674004,0.3904003657398585,4404078,Santa Cruz,1.143365312959088,-121.803784,36.890408,A,0.05475845752818781
4.923484880886189,0.3921563930547879,14.0,0.38030611720889085,6.923484880886191,0.41232098308306425,4404045,Santa Cruz,1.8058301089394413,-121.81142,36.886309,A,-0.032014865874173404
4.638051014403766,0.2895873251906022,14.0,0.4103092756663218,6.638051014403762,0.30424509937384964,4405091,Santa Cruz,6.045885519061699,-121.818781,36.922842,A,0.10606417629247217
4.0,0.44425750672007497,14.0,0.4470824381859631,6.0,0.4607008180993184,4403743,Santa Cruz,8.604928773349535,-121.797137,36.919001,A,-0.013618379913355294
4.0,0.33015699687236444,14.0,0.46846633277155364,6.0,0.3468341439207955,4403738,Santa Cruz,1.065323431843525,-121.821895,36.883378,A,0.12163218885075816
6.0,0.3862866368283257,14.0,0.38268492193214604,8.0,0.40947459085463894,4403731,Santa Cruz,0.841192333768267,-121.826998,36.914312,A,-0.026789668922492904
6.0,0.5278622310505787,14.0,0.47167151557417336,8.0,0.5378680513048625,4403728,Santa Cruz,1.0258012467241109,-121.82917,36.916867,A,-0.06619653573068912
4.0,0.5710705718063139,14.0,0.4523154438801617,6.0,0.6016068236886252,4403726,Santa Cruz,0.8082009305459148,-121.701971,36.951819,A,-0.14929137980846346
2.0,0.09988143787046438,8.0,0.1863859766104641,3.0,0.08570545497862408,4403725,Santa Cruz,4.45275772278153,-121.684327,36.925496,A,0.10068052163184002
6.0,0.5115270980286628,15.734403065501139,0.470233901494289,8.0,0.5192371001802791,4404030,Santa Cruz,10.332055546948308,-121.852279,36.930425,A,-0.049003198685990124
6.0,0.34838042894466603,14.0,0.367139829897296,8.0,0.37087167374467883,4405096,Santa Cruz,1.6257873710425554,-121.826923,36.90692,A,-0.003731843847382843
5.210927028041394,0.4110834635708278,14.0,0.3998299844223058,7.210927028041393,0.44234670871614784,4403991,Santa Cruz,1.4359245503271898,-121.812029,36.889392,A,-0.04251672429384207
4.0,0.3398879418385756,14.0,0.3862898360268347,6.0,0.3701335870082742,4403956,Santa Cruz,2.8003072492588,-121.824164,36.880757,A,0.016156249018560498
4.0,0.0842424258758385,14.0,0.12519450844515093,6.0,0.08395243255506978,4403933,Santa Cruz,1.3861742328281037,-121.815846,36.925862,A,0.04124207589008115
4.0,0.5660749958568293,14.0,0.5457879000434851,6.0,0.5968774783004593,4403904,Santa Cruz,1.410063610428233,-121.818033,36.88056,A,-0.051089578256974244
4.0,0.3506465150851414,14.0,0.339551010785627,6.0,0.3757701465433383,4403896,Santa Cruz,1.897697305439742,-121.822784,36.878298,A,-0.036219135757711296
4.0,0.34694370557933324,14.0,0.24411557114377994,6.0,0.33928795598048817,4403892,Santa Cruz,2.4777365070234416,-121.821795,36.879693,A,-0.09517238483670823
4.0,0.4192573426562087,14.0,0.3912082057302739,6.0,0.43969104541437154,4403887,Santa Cruz,1.747129976571347,-121.820387,36.877822,A,-0.04848283968409767
4.0,0.6149146494273672,14.0,0.5482696490869204,6.0,0.6485105045120438,4403881,Santa Cruz,1.3448818716762896,-121.822857,36.883659,A,-0.1002408554251234
6.0,0.11151846453892507,14.0,0.16810153228658234,8.0,0.10770640187584814,4404594,Santa Cruz,13.292854499047692,-121.820907,36.894608,A,0.0603951304107342
6.0,0.5604751195422942,16.0,0.48007733718336826,8.0,0.5746200602173216,4404595,Santa Cruz,3.980121662745784,-121.845378,36.935135,A,-0.09454272303395334
4.0,0.41005247246916104,14.0,0.4278251634348682,6.0,0.4379029416690156,4403864,Santa Cruz,0.9462928866129624,-121.824874,36.882878,A,-0.010077778234147405
2.0,0.5709420955504508,7.002252472823426,0.5067640595738585,2.0,0.5709420955504508,4403853,Santa Cruz,1.5763704911080176,-121.647339,36.906441,A,-0.06417803597659233
4.0,0.22106526436438126,14.0,0.2951183225311025,6.0,0.22753130142328012,4403852,Santa Cruz,1.0178563214580614,-121.816386,36.925571,A,0.06758702110782236
4.0,0.4555421570586466,14.0,0.46471493421095666,6.0,0.48438024705143373,4403848,Santa Cruz,2.671325406970798,-121.819352,36.87665,A,-0.019665312840477067
6.0,0.48597749232671433,14.0,0.48885835837138475,8.0,0.5007300686574733,4403840,Santa Cruz,1.1510541969604722,-121.811889,36.888385,A,-0.011871710286088522
4.0,0.3473417554242546,14.0,0.46504802332804956,6.0,0.36459488636071785,4403838,Santa Cruz,1.285922836429835,-121.821959,36.88294,A,0.10045313696733171
4.0,0.32705277824578427,14.0,0.23912039225314996,6.0,0.2621499929808282,4403837,Santa Cruz,1.6837984120050418,-121.810588,36.882941,A,-0.023029600727678234
4.0,0.3249354181312923,14.0,0.3831539683265919,6.0,0.34087501554609617,4403812,Santa Cruz,2.311280146770014,-121.82485,36.881725,A,0.042278952780495704
4.189224374746195,0.2718319239970181,14.0,0.3285085932276389,6.189224374746199,0.2837966502882454,4404222,Santa Cruz,6.479674483069837,-121.814891,36.886017,A,0.04471194293939351
4.0,0.3616876766595525,14.0,0.4101264781153128,6.0,0.377596333860201,4403806,Santa Cruz,1.0065655145087038,-121.825185,36.884355,A,0.03253014425511175
2.0,0.30528034088165235,7.768912163770532,0.38108017040282255,2.7407283980004755,0.31208958024958483,4403769,Santa Cruz,3.241280571872397,-121.711084,36.936912,A,0.06899059015323772
