measure,flooded median,dry median,difference,flooded IQR,dry IQR,separation (0.5 = none)
VV (change),3.2218563338030526,0.5622764523017469,2.6595798815013056,3.7582975668160925,0.7281938470999975,0.2821047751506722
VH (change),1.2710061133943071,0.7501017460667327,0.5209043673275744,3.0926629572096136,0.9198530352566419,0.4852418482460207
VV post (dB),-7.785740195353096,-12.037792995923006,4.25205280056991,6.266259419811362,3.0089395843576447,0.23898933704218828
VH post (dB),-22.037621875150634,-21.169294371637285,-0.8683275035133491,2.9026405670909767,2.6681699501721,0.5822129500849946
VV pre (dB),-10.012081540520528,-12.562390127042589,2.5503085865220605,3.402081683026559,2.8546593726421,0.23350332251583994
VH pre (dB),-22.198147883417878,-21.91712826520898,-0.281019618208898,2.225920658954209,2.362158442512907,0.5454334724153918
