15_Mar_only,15_Mar_only_n,20_31_Mar,20_31_Mar_n,20_Mar_only,20_Mar_only_n,25_Mar_only,25_Mar_only_n,pre,pre_n,unit_id
,0.0,0.4024773473026884,4.0,0.40791202365919893,2.0,0.3992618436139906,2.0,0.3809101536565497,6.0,4400056
,0.0,0.4147102886199849,1.4811030071375637,,0.0,0.4147102886199849,1.4811030071375637,0.3978427521972493,4.3617925816139484,4400039
0.25524138556325626,4.0,0.24393295568957427,5.694379500607874,0.13321209116464713,1.6943795006078737,0.2494804267225883,4.0,0.24706913202925768,10.999906480875339,4400035
0.3546640136306818,2.0,0.43959014379775296,4.0,0.444510512409122,2.0,0.43581247554991376,2.0,0.4231709306333004,6.212554335813747,4400031
,0.0,0.4838600036116171,4.0,0.4967981067711619,2.0,0.473494495409181,2.0,0.49256520605089055,6.833800500803528,4400011
0.41209854486679665,4.0,0.4207861763790469,8.0,0.411304299447348,4.0,0.4245163210121984,4.0,0.4423225843320015,12.0,4400006
,0.0,0.399899286264747,4.0,0.40310737279868536,2.0,0.3969076696974656,2.0,0.3849940199608289,6.851146634074172,4400005
0.3019773725315661,0.11939360067067208,0.4763886503447395,4.0,0.4763554372033944,2.0,0.47605485200311476,2.0,0.4810310395004294,6.0,4400004
0.2346955362480266,0.15620755229557182,0.37860451953845387,4.0,0.3736607948704214,2.0,0.3820029313483014,2.0,0.3904003657398585,6.710065199674004,4404078
0.3263026910649945,0.10799367007399167,0.38376705522161153,4.0,0.3944687679652799,2.0,0.37374780724928214,2.0,0.41232098308306425,6.923484880886191,4404045
,0.0,0.38458969536770815,4.0,0.39369736384667753,2.0,0.3786003064435389,2.0,0.30424509937384964,6.638051014403762,4405091
0.42553818957183187,0.3998529424951354,0.40570382032125146,4.0,0.41677483367782664,2.0,0.39487949623486995,2.0,0.4607008180993184,6.0,4403743
0.46489195465574945,2.0,0.46482307063445655,4.0,0.4789197510503557,2.0,0.45404755105317657,2.0,0.3468341439207955,6.0,4403738
,0.0,0.38784057927352705,4.0,0.40827305099091504,2.0,0.37543869344265374,2.0,0.40947459085463894,8.0,4403731
,0.0,0.4588132805954836,4.0,0.45332449375189426,2.0,0.46148781450306575,2.0,0.5378680513048625,8.0,4403728
,0.0,0.6537112956546338,2.0,,0.0,0.6537112956546338,2.0,0.6016068236886252,6.0,4403726
,0.0,0.12324857495105926,2.0,0.09956850484692682,1.0,0.1469286452309879,1.0,0.08570545497862408,3.0,4403725
,0.0,0.48285200577135584,5.734403065501141,0.49639240629304554,2.0,0.4840862923979256,2.0,0.5192371001802791,8.0,4404030
,0.0,0.3686896422650062,4.0,0.39780304704676034,2.0,0.34521415216324186,2.0,0.37087167374467883,8.0,4405096
0.40503426533807396,2.0,0.41314046983776176,4.0,0.42239063043187475,2.0,0.40485794342102366,2.0,0.44234670871614784,7.210927028041393,4403991
