base_vh,base_vv,unit_id
0.9186552406064602,0.8748187211601848,4400056
0.009945785717071649,0.0,4400039
0.0,0.0,4400035
0.995984675458631,0.8389449642672951,4400031
0.6645363830025788,0.775909107896999,4400011
0.005283660022377853,0.0,4400006
0.883245955421183,0.617928017754334,4400005
0.939569652088864,0.5423711052116809,4400004
0.5011545775604455,0.17318663406682963,4404078
0.7732774475001066,0.6384671314315038,4404045
0.41197840714304007,0.07809501880420604,4405091
0.0,0.0,4403743
0.8030436055019022,0.7601697395376061,4403738
0.9831084182502523,0.2034333975947856,4403731
0.30977523004978136,0.2696485141046916,4403728
0.0,0.0,4403726
0.6169418546104832,0.03866520825737452,4403725
0.022901448928272054,0.0,4404030
0.4867163608562692,0.0,4405096
0.9262237949707791,0.40180151198327163,4403991
0.9971058434399118,0.6815325248070558,4403956
0.7493433186162186,0.40065947577264843,4403933
0.8272902338376891,0.837248968363136,4403904
0.8773811951866204,0.2854170915765858,4403896
1.0,0.9771578356113088,4403892
1.0,0.8843033822421205,4403887
0.9580375180375181,0.8190476190476191,4403881
0.8174962029294183,0.021845521784419494,4404594
0.0002327611288914751,0.0,4404595
1.0,0.8680941484145147,4403864
0.0,0.0,4403853
0.21752951861943687,0.0,4403852
0.9712328369473712,0.8921303956573482,4403848
0.7176843240328887,0.30071438199218237,4403840
1.0,0.8592253478706103,4403838
0.7213763282579696,0.4881089286535718,4403837
1.0,0.8518816393552493,4403812
0.9487136612282921,0.346929269283138,4404222
1.0,0.2513205236163209,4403806
0.015853368245655787,0.0,4403769
0.6914238818219123,0.07427164546573657,4403708
0.44295935605684195,0.0,4403688
0.9261727762112278,0.32248141502178934,4403677
0.892871943638624,0.0,4403659
0.9446622351002785,0.8700642008976764,4403658
0.9149908592321755,0.8779054583442151,4403643
0.19514947194605936,0.0,4403635
0.9890260631001372,0.42729766803840885,4403617
0.987661937075879,0.9497920439394241,4403599
0.7746800379594246,0.026340762779245432,4405110
0.8921475875118259,0.11308735414695677,4403572
0.6970762185299397,0.15220693146775902,4405111
0.006673618352450469,0.0,4403523
