DWR rule,county,CDL strawberry px,DWR T20 px,% of CDL strawberry inside DWR T20,% within 30 m of DWR T20 (outside),% 30-90 m away,% > 90 m from any DWR T20,% of DWR T20 labelled strawberry by CDL,% of DWR T20 missed by CDL that is edge px
main crop = T20,Monterey,41573,63742,31.429052510042574,3.7716787337935678,7.6660332427296565,57.1332355134342,20.49825860500141,49.6191491041124
main crop = T20,Santa Cruz,9551,11883,37.49345618259868,7.014972254214219,10.81562140090043,44.675950162286675,30.135487671463434,59.78077571669477
main crop = T20,Both counties,51124,75625,32.56200610280886,4.377591737735702,8.254440184649088,54.80596197480635,22.012561983471073,51.049543897724575
T20 in any slot,Monterey,41573,83081,38.27484184446636,3.834219325042696,7.0983571067760325,50.79258172371491,19.1523934473586,47.88518513004511
T20 in any slot,Santa Cruz,9551,16853,45.565909328866084,7.2871950581090985,10.14553449900534,37.001361114019474,25.823295555687416,54.96360291176706
T20 in any slot,Both counties,51124,99934,39.63696111415382,4.479305218683984,7.667631640716689,48.216102026445505,20.277383072828066,48.99585791389482
