unit_id,county_geoid,county,col,row,x_3310,y_3310,lon,lat,frac_2022,frac_2023,dwr_t20_main_frac,dwr_t20_any_frac,dwr_dominant_main_crop,both_years
c-660_r476,06087,Santa Cruz,-660,476,-164875.0,-119125.0,-121.85364,36.930237,0.014399999999134888,0.8026041567742132,0.3327215609365238,0.3327215609365238,T20,False
c-659_r476,06087,Santa Cruz,-659,476,-164625.0,-119125.0,-121.85083,36.93028,0.10163651434781927,0.8540400267672125,0.9084470895875175,0.9084470895875175,T20,False
c-651_r484,06087,Santa Cruz,-651,484,-162625.0,-121125.0,-121.827917,36.912639,0.05528340282043675,0.609380973734875,0.9651877618151447,0.9651877618151447,T20,False
c-651_r485,06087,Santa Cruz,-651,485,-162625.0,-121375.0,-121.827862,36.910391,0.07200000000472787,0.7071499663210318,0.7732566709317167,0.7732566709317167,T20,False
c-650_r485,06087,Santa Cruz,-650,485,-162375.0,-121375.0,-121.825053,36.910434,0.17104509193011713,0.679732779521878,0.9369544508341338,0.9369544508341338,T20,False
c-650_r486,06087,Santa Cruz,-650,486,-162375.0,-121625.0,-121.824999,36.908185,0.0,0.6753735310286672,0.8228276636730177,0.8228276636730177,T20,False
c-649_r486,06087,Santa Cruz,-649,486,-162125.0,-121625.0,-121.82219,36.908229,0.012654086536222547,0.7364238729331974,0.9236398447771791,0.9236398447771791,T20,False
c-653_r487,06087,Santa Cruz,-653,487,-163125.0,-121875.0,-121.833372,36.905806,0.17613622445842936,0.6330212584962052,0.0,0.0,T4,False
c-652_r487,06087,Santa Cruz,-652,487,-162875.0,-121875.0,-121.830563,36.90585,0.30273663433069553,0.8337350843749348,0.0,0.0,T4,False
c-654_r488,06087,Santa Cruz,-654,488,-163375.0,-122125.0,-121.836127,36.903514,0.4501340168467555,0.8710004366659964,0.0,0.0,T4,False
c-653_r488,06087,Santa Cruz,-653,488,-163125.0,-122125.0,-121.833318,36.903558,0.3870274504853194,0.9543159937061905,0.0,0.0,T4,False
c-652_r488,06087,Santa Cruz,-652,488,-162875.0,-122125.0,-121.830509,36.903601,0.4267332540431202,0.8864099652659118,0.0,0.0,T4,False
c-651_r488,06087,Santa Cruz,-651,488,-162625.0,-122125.0,-121.8277,36.903644,0.3821751368291434,0.751688098335975,0.0,0.0,T4,False
c-655_r489,06087,Santa Cruz,-655,489,-163625.0,-122375.0,-121.838881,36.901222,0.6630469286478196,0.945630130952601,0.0,0.0,T4,True
c-654_r489,06087,Santa Cruz,-654,489,-163375.0,-122375.0,-121.836073,36.901265,0.6561945923788369,0.9092613276675002,0.0,0.0,T4,True
c-653_r489,06087,Santa Cruz,-653,489,-163125.0,-122375.0,-121.833264,36.901309,0.44109645107469647,0.8467558527798276,0.0,0.0,T4,False
c-652_r489,06087,Santa Cruz,-652,489,-162875.0,-122375.0,-121.830455,36.901352,0.3771701302465693,0.8671492403656529,0.0,0.0,T4,False
